Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Communication skills,Logical quotient rating,hackathons,Extra-courses did,certifications,workshops,interestedsubjects,interestedcareerarea ,Job/Higher Studies?,interested in games,Management or Technical,Introvert,JobRole
73,69,63,90,64,78,5,0,no,information security,testing,programming,testing,higherstudies,yes,Technical,no,Applications Developer
71,85,61,87,69,93,7,6,yes,shell programming,testing,Management,system developer,higherstudies,no,Technical,yes,Applications Developer
83,84,82,60,88,84,2,3,yes,information security,testing,data engineering,Business process analyst,job,yes,Technical,no,Applications Developer
80,63,78,78,71,93,2,6,yes,r programming,database security,networks,testing,job,yes,Technical,yes,Applications Developer
69,72,80,78,92,77,2,0,no,distro making,game development,Software Engineering,system developer,higherstudies,yes,Technical,no,Applications Developer
66,77,87,65,87,83,7,3,yes,distro making,data science,cloud computing,security,job,yes,Technical,yes,Applications Developer
86,67,76,75,81,67,9,1,yes,machine learning,system designing,cloud computing,testing,job,no,Technical,yes,Applications Developer
64,87,64,77,60,61,9,0,no,machine learning,hacking,parallel computing,developer,job,yes,Technical,no,Applications Developer
94,76,61,90,71,80,1,1,yes,full stack,game development,programming,Business process analyst,higherstudies,no,Technical,yes,Applications Developer
79,88,74,91,72,85,6,5,yes,machine learning,cloud computing,networks,system developer,job,no,Technical,yes,Applications Developer
92,79,80,60,83,94,6,0,yes,full stack,data science,IOT,developer,higherstudies,no,Technical,no,Applications Developer
65,82,60,83,84,70,9,6,no,information security,web technologies,parallel computing,Business process analyst,job,yes,Technical,no,Applications Developer
73,85,70,63,81,67,4,4,yes,hadoop,hacking,networks,Business process analyst,higherstudies,no,Technical,no,Applications Developer
81,67,70,94,63,76,8,0,yes,shell programming,cloud computing,Computer Architecture,security,job,no,Technical,no,Applications Developer
84,60,93,65,94,83,1,0,yes,hadoop,cloud computing,Software Engineering,cloud computing,job,yes,Technical,no,Applications Developer
66,63,83,92,63,71,1,0,no,distro making,database security,Computer Architecture,system developer,job,yes,Technical,yes,Applications Developer
94,94,88,89,61,62,2,3,no,r programming,hacking,networks,developer,job,yes,Technical,yes,Applications Developer
70,72,94,77,86,73,6,2,yes,information security,game development,hacking,testing,job,no,Technical,yes,Applications Developer
72,80,74,76,65,93,2,0,no,information security,database security,data engineering,cloud computing,higherstudies,no,Technical,yes,Applications Developer
66,76,90,61,63,75,3,2,yes,distro making,database security,Computer Architecture,security,job,no,Technical,no,Applications Developer
92,68,62,69,70,68,2,3,no,information security,data science,hacking,system developer,higherstudies,no,Technical,yes,Applications Developer
81,93,70,91,94,76,5,5,no,r programming,cloud computing,cloud computing,Business process analyst,job,yes,Technical,yes,Applications Developer
65,89,69,64,92,84,3,5,yes,hadoop,game development,cloud computing,testing,higherstudies,no,Technical,no,Applications Developer
77,80,61,67,83,81,1,2,no,hadoop,system designing,networks,cloud computing,higherstudies,no,Technical,no,Applications Developer
65,94,80,71,91,66,6,1,yes,information security,hacking,Management,Business process analyst,job,no,Technical,yes,Applications Developer
87,67,82,92,67,94,9,0,yes,information security,database security,IOT,system developer,higherstudies,no,Technical,yes,Applications Developer
81,72,76,74,62,62,9,6,no,hadoop,cloud computing,parallel computing,Business process analyst,higherstudies,yes,Technical,no,Applications Developer
85,83,65,69,84,88,8,4,no,information security,game development,programming,security,job,no,Management,no,Applications Developer
93,61,61,93,63,73,9,6,yes,full stack,system designing,Management,system developer,job,yes,Technical,no,Applications Developer
75,66,84,66,76,64,6,5,no,full stack,testing,cloud computing,Business process analyst,higherstudies,yes,Technical,no,Applications Developer
62,91,67,76,74,80,2,3,no,shell programming,system designing,cloud computing,Business process analyst,job,yes,Technical,yes,Applications Developer
78,62,77,94,90,92,9,0,no,information security,system designing,programming,developer,higherstudies,yes,Technical,no,Applications Developer
63,82,76,71,83,91,4,2,no,shell programming,game development,parallel computing,system developer,higherstudies,no,Technical,no,Applications Developer
68,64,63,74,91,67,5,3,yes,shell programming,system designing,cloud computing,security,higherstudies,no,Technical,yes,Applications Developer
77,66,92,83,91,82,9,0,no,app development,data science,Computer Architecture,security,job,no,Management,no,Applications Developer
90,62,87,76,75,80,1,2,yes,hadoop,game development,data engineering,Business process analyst,higherstudies,yes,Management,no,Applications Developer
83,64,62,61,92,74,6,0,yes,r programming,game development,hacking,Business process analyst,higherstudies,no,Management,yes,Applications Developer
76,89,78,91,67,93,7,1,no,app development,cloud computing,networks,security,job,no,Management,no,Applications Developer
79,79,84,62,91,75,5,0,no,hadoop,game development,cloud computing,cloud computing,higherstudies,no,Technical,yes,Applications Developer
86,76,82,80,73,81,8,2,no,shell programming,web technologies,cloud computing,testing,job,no,Technical,no,Applications Developer
62,64,73,63,66,78,2,3,no,machine learning,database security,hacking,cloud computing,job,no,Technical,no,Applications Developer
63,88,92,85,65,91,4,0,yes,information security,testing,parallel computing,Business process analyst,higherstudies,no,Technical,yes,Applications Developer
64,87,64,60,80,74,8,1,no,r programming,system designing,data engineering,security,higherstudies,yes,Technical,yes,Applications Developer
78,65,75,88,63,66,1,1,no,app development,web technologies,Computer Architecture,testing,job,no,Technical,no,Applications Developer
64,60,61,64,67,81,6,0,no,python,cloud computing,Management,system developer,higherstudies,yes,Management,yes,Applications Developer
61,83,83,85,67,90,7,5,no,hadoop,cloud computing,Management,security,higherstudies,yes,Technical,no,Applications Developer
68,92,68,73,77,85,8,1,yes,shell programming,web technologies,networks,security,higherstudies,no,Technical,yes,Applications Developer
65,69,93,84,82,65,7,4,no,app development,hacking,cloud computing,Business process analyst,higherstudies,no,Management,yes,Applications Developer
63,84,80,94,76,94,2,2,yes,shell programming,data science,programming,security,job,yes,Technical,yes,Applications Developer
60,60,93,60,69,93,6,2,yes,r programming,data science,networks,cloud computing,job,yes,Management,yes,Applications Developer
72,74,60,66,92,91,9,2,yes,machine learning,cloud computing,data engineering,developer,job,yes,Technical,yes,Applications Developer
66,68,88,80,86,87,4,3,yes,hadoop,system designing,Computer Architecture,cloud computing,job,yes,Technical,yes,Applications Developer
66,88,66,86,85,93,4,0,no,information security,cloud computing,parallel computing,developer,job,no,Technical,yes,Applications Developer
86,91,92,63,64,88,1,5,no,machine learning,hacking,hacking,Business process analyst,job,yes,Technical,yes,Applications Developer
63,78,84,79,60,93,2,2,no,machine learning,system designing,hacking,testing,higherstudies,no,Technical,yes,Applications Developer
80,88,88,65,87,66,6,2,yes,hadoop,web technologies,programming,security,higherstudies,yes,Technical,no,Applications Developer
67,78,81,75,64,72,9,0,no,r programming,data science,data engineering,developer,job,no,Technical,yes,Applications Developer
69,85,60,61,60,74,9,5,yes,shell programming,game development,networks,Business process analyst,higherstudies,yes,Management,yes,Applications Developer
85,94,66,71,61,90,5,0,no,hadoop,system designing,parallel computing,system developer,job,no,Technical,yes,Applications Developer
78,86,61,71,90,73,5,5,no,machine learning,game development,networks,system developer,higherstudies,yes,Management,no,Applications Developer
89,66,84,72,60,92,3,0,yes,full stack,system designing,data engineering,security,higherstudies,yes,Technical,no,Applications Developer
79,85,94,86,67,74,2,6,yes,hadoop,cloud computing,IOT,Business process analyst,job,yes,Technical,yes,Applications Developer
76,87,80,75,63,93,3,1,no,r programming,data science,parallel computing,developer,higherstudies,yes,Management,yes,Applications Developer
81,66,71,90,76,84,6,0,yes,r programming,cloud computing,IOT,developer,job,no,Technical,no,Applications Developer
84,81,81,88,66,76,1,0,no,hadoop,system designing,data engineering,system developer,higherstudies,yes,Technical,yes,Applications Developer
79,70,84,76,94,71,7,6,yes,full stack,testing,hacking,Business process analyst,higherstudies,yes,Technical,yes,Applications Developer
77,85,67,87,73,71,4,6,no,hadoop,testing,cloud computing,cloud computing,job,yes,Management,yes,Applications Developer
81,65,92,77,79,94,4,5,no,hadoop,hacking,Computer Architecture,cloud computing,job,yes,Technical,yes,Applications Developer
63,81,67,94,91,79,9,4,yes,information security,cloud computing,programming,security,job,yes,Management,yes,Applications Developer
68,82,81,85,68,85,8,6,no,r programming,database security,programming,testing,higherstudies,yes,Technical,yes,Applications Developer
83,73,66,86,71,78,1,6,yes,full stack,hacking,cloud computing,testing,higherstudies,yes,Management,no,Applications Developer
63,94,93,69,67,91,2,4,yes,machine learning,data science,cloud computing,cloud computing,job,yes,Management,no,Applications Developer
94,93,71,79,88,77,6,4,yes,r programming,testing,networks,Business process analyst,higherstudies,no,Technical,yes,Applications Developer
85,79,60,64,86,71,4,2,yes,information security,web technologies,networks,developer,higherstudies,no,Management,no,Applications Developer
74,66,78,65,77,72,1,4,yes,r programming,data science,Computer Architecture,testing,higherstudies,no,Management,yes,Applications Developer
85,74,78,63,92,80,5,5,yes,python,web technologies,IOT,security,job,no,Technical,yes,Applications Developer
74,66,92,81,87,78,4,0,no,distro making,system designing,parallel computing,testing,higherstudies,no,Management,yes,Applications Developer
85,80,80,93,76,71,9,4,yes,app development,data science,Computer Architecture,cloud computing,higherstudies,yes,Management,yes,Applications Developer
80,76,94,76,80,67,3,2,no,app development,cloud computing,programming,Business process analyst,job,yes,Management,yes,Applications Developer
88,92,71,65,70,64,3,3,yes,r programming,game development,Software Engineering,system developer,job,no,Management,no,Applications Developer
88,70,79,75,67,67,6,2,yes,python,data science,Management,testing,higherstudies,no,Technical,yes,Applications Developer
82,91,91,76,81,89,2,2,yes,shell programming,data science,Computer Architecture,cloud computing,job,no,Management,no,Applications Developer
61,81,90,63,77,89,2,6,no,distro making,game development,hacking,system developer,higherstudies,yes,Management,yes,Applications Developer
86,74,75,94,70,69,8,6,yes,shell programming,system designing,cloud computing,developer,higherstudies,yes,Technical,yes,Applications Developer
77,63,65,74,75,87,5,3,no,r programming,web technologies,networks,cloud computing,higherstudies,no,Technical,no,Applications Developer
85,90,67,77,85,87,8,0,yes,python,game development,Management,Business process analyst,higherstudies,no,Management,no,Applications Developer
89,87,65,65,87,69,2,2,yes,app development,data science,data engineering,security,higherstudies,yes,Technical,yes,Applications Developer
61,72,87,72,67,80,5,4,yes,shell programming,system designing,Computer Architecture,system developer,higherstudies,yes,Management,yes,Applications Developer
69,64,60,81,79,79,9,0,yes,shell programming,testing,hacking,cloud computing,higherstudies,yes,Technical,no,Applications Developer
66,81,81,73,92,83,5,3,no,r programming,database security,networks,security,job,yes,Technical,yes,Applications Developer
72,84,85,60,87,93,4,2,no,hadoop,web technologies,Management,cloud computing,job,no,Management,no,Applications Developer
75,90,72,61,83,78,9,1,no,information security,game development,Computer Architecture,cloud computing,job,no,Technical,yes,Applications Developer
63,84,91,88,66,90,5,5,yes,shell programming,system designing,hacking,developer,higherstudies,no,Technical,yes,Applications Developer
89,89,85,74,93,60,1,1,no,app development,cloud computing,Computer Architecture,developer,job,yes,Technical,no,Applications Developer
70,67,80,75,79,68,7,4,no,machine learning,testing,networks,testing,higherstudies,yes,Management,yes,Applications Developer
63,71,85,80,75,75,3,1,yes,machine learning,data science,Software Engineering,system developer,job,yes,Management,no,Applications Developer
71,81,70,62,89,92,6,0,no,app development,game development,Software Engineering,security,higherstudies,no,Technical,no,Applications Developer
93,71,94,65,69,60,1,5,yes,shell programming,testing,data engineering,Business process analyst,higherstudies,yes,Management,yes,Applications Developer
80,93,65,69,90,70,4,3,yes,machine learning,cloud computing,Computer Architecture,testing,job,yes,Management,yes,Applications Developer
85,71,80,71,92,93,1,2,yes,python,system designing,data engineering,security,job,no,Technical,yes,Applications Developer
80,94,84,79,66,94,5,1,no,machine learning,game development,parallel computing,developer,higherstudies,yes,Technical,no,Applications Developer
70,91,91,71,77,79,9,4,no,hadoop,web technologies,Software Engineering,testing,job,no,Management,yes,Applications Developer
60,80,61,69,76,92,2,1,yes,python,hacking,cloud computing,system developer,higherstudies,no,Management,yes,Applications Developer
62,82,77,64,81,82,4,4,yes,shell programming,hacking,programming,system developer,higherstudies,no,Technical,no,Applications Developer
67,94,68,63,61,87,1,5,no,full stack,system designing,Software Engineering,developer,job,no,Management,yes,Applications Developer
85,87,67,93,80,86,1,3,yes,r programming,database security,programming,system developer,higherstudies,no,Management,no,Applications Developer
71,67,72,62,63,84,7,5,no,full stack,testing,networks,developer,job,no,Management,no,Applications Developer
93,91,84,62,93,62,8,4,no,information security,cloud computing,IOT,developer,higherstudies,no,Management,no,Applications Developer
61,79,89,60,68,64,1,2,no,full stack,game development,Computer Architecture,system developer,higherstudies,yes,Technical,yes,Applications Developer
61,69,66,84,61,76,5,6,yes,distro making,cloud computing,parallel computing,testing,job,no,Technical,no,Applications Developer
88,60,70,82,76,66,9,6,no,app development,hacking,Computer Architecture,security,higherstudies,no,Management,yes,Applications Developer
69,88,80,77,90,79,4,6,no,shell programming,cloud computing,parallel computing,cloud computing,job,yes,Technical,yes,Applications Developer
88,93,93,68,63,67,6,1,yes,information security,web technologies,parallel computing,Business process analyst,higherstudies,yes,Technical,yes,Applications Developer
93,79,60,64,82,66,6,0,yes,app development,game development,parallel computing,testing,higherstudies,no,Technical,no,Applications Developer
86,73,78,78,69,65,4,5,no,shell programming,game development,hacking,Business process analyst,higherstudies,no,Management,no,Applications Developer
68,84,86,78,74,74,4,4,no,distro making,cloud computing,programming,Business process analyst,higherstudies,no,Technical,yes,Applications Developer
87,60,64,73,63,94,6,4,no,distro making,database security,networks,security,higherstudies,no,Technical,no,Applications Developer
82,89,66,81,85,86,1,0,yes,hadoop,system designing,cloud computing,security,job,yes,Technical,yes,Applications Developer
88,80,75,64,80,71,3,1,yes,full stack,data science,Computer Architecture,developer,job,no,Technical,no,Applications Developer
77,90,73,71,82,68,8,4,no,app development,testing,parallel computing,cloud computing,job,yes,Technical,yes,Applications Developer
73,87,66,94,79,93,5,4,no,app development,web technologies,networks,cloud computing,job,no,Technical,no,Applications Developer
91,79,69,84,67,73,1,5,no,python,database security,cloud computing,system developer,higherstudies,yes,Technical,yes,Applications Developer
77,86,86,71,65,72,4,0,no,shell programming,data science,Management,cloud computing,higherstudies,no,Technical,yes,Applications Developer
63,90,70,63,79,67,3,0,yes,shell programming,hacking,programming,cloud computing,higherstudies,no,Technical,no,Applications Developer
78,82,84,70,80,68,2,6,yes,full stack,database security,networks,cloud computing,higherstudies,yes,Technical,no,Applications Developer
93,84,69,60,73,67,2,1,no,machine learning,game development,parallel computing,Business process analyst,job,no,Management,yes,Applications Developer
88,73,64,67,82,71,6,4,yes,full stack,hacking,Software Engineering,security,higherstudies,no,Technical,no,Applications Developer
76,70,88,68,65,60,3,3,no,shell programming,database security,Management,testing,higherstudies,no,Technical,yes,Applications Developer
85,77,87,66,87,85,3,5,yes,r programming,data science,hacking,cloud computing,job,yes,Management,yes,Applications Developer
78,72,80,70,74,74,7,1,no,shell programming,database security,Computer Architecture,security,higherstudies,no,Technical,yes,Applications Developer
87,93,90,72,72,68,3,5,no,shell programming,web technologies,cloud computing,system developer,higherstudies,yes,Technical,no,Applications Developer
60,86,77,75,62,61,6,3,yes,shell programming,system designing,cloud computing,security,higherstudies,no,Management,yes,Applications Developer
68,64,78,89,91,60,1,0,no,python,system designing,parallel computing,developer,job,no,Technical,no,Applications Developer
64,70,77,88,61,89,6,6,no,machine learning,web technologies,programming,testing,higherstudies,no,Technical,yes,Applications Developer
93,68,87,63,77,69,6,0,yes,hadoop,game development,cloud computing,Business process analyst,job,yes,Management,yes,Applications Developer
78,84,79,76,82,80,1,4,yes,python,testing,hacking,security,job,no,Management,no,Applications Developer
74,73,92,94,60,88,5,6,no,r programming,database security,hacking,developer,higherstudies,no,Technical,no,Applications Developer
88,77,60,75,79,93,5,5,no,shell programming,hacking,IOT,cloud computing,job,no,Management,yes,Applications Developer
84,88,82,90,65,84,6,3,no,shell programming,testing,Management,cloud computing,job,yes,Management,yes,Applications Developer
70,60,76,70,60,90,4,3,no,python,web technologies,IOT,developer,job,yes,Technical,yes,Applications Developer
80,60,85,81,67,71,2,2,yes,information security,data science,Computer Architecture,system developer,higherstudies,no,Technical,no,Applications Developer
73,68,66,86,83,80,6,6,no,shell programming,system designing,IOT,Business process analyst,job,yes,Technical,no,Applications Developer
72,94,83,93,85,91,6,3,yes,distro making,web technologies,Management,developer,higherstudies,yes,Management,no,Applications Developer
73,70,91,93,94,63,3,0,yes,full stack,testing,programming,cloud computing,higherstudies,no,Technical,yes,Applications Developer
89,88,88,85,78,60,9,2,no,distro making,data science,Management,cloud computing,job,no,Management,yes,Applications Developer
66,72,74,66,80,77,3,2,no,machine learning,database security,IOT,cloud computing,job,no,Technical,yes,Applications Developer
74,63,81,71,64,79,3,5,no,app development,web technologies,cloud computing,developer,higherstudies,yes,Management,no,Applications Developer
89,76,71,83,86,81,2,2,no,shell programming,testing,parallel computing,developer,job,yes,Technical,yes,Applications Developer
89,72,87,66,94,66,5,3,yes,distro making,hacking,hacking,developer,job,no,Management,yes,Applications Developer
85,79,67,85,88,75,6,6,yes,shell programming,game development,parallel computing,system developer,higherstudies,no,Management,no,Applications Developer
61,65,84,74,60,93,3,4,no,hadoop,data science,IOT,cloud computing,job,no,Technical,no,Applications Developer
77,61,62,82,89,80,9,4,no,shell programming,game development,IOT,Business process analyst,higherstudies,yes,Management,yes,Applications Developer
93,60,80,62,70,93,4,0,no,r programming,data science,Computer Architecture,developer,higherstudies,yes,Technical,yes,Applications Developer
70,65,62,68,62,64,1,3,no,r programming,database security,hacking,security,job,yes,Technical,yes,Applications Developer
86,67,87,64,82,70,4,3,no,machine learning,game development,networks,testing,job,yes,Technical,no,Applications Developer
94,61,85,90,79,68,4,0,no,shell programming,cloud computing,cloud computing,security,higherstudies,no,Management,no,Applications Developer
82,94,63,82,76,93,8,5,no,hadoop,testing,Computer Architecture,system developer,higherstudies,no,Technical,no,Applications Developer
74,64,87,66,93,75,4,6,yes,distro making,web technologies,programming,cloud computing,job,yes,Management,no,Applications Developer
75,65,89,92,90,78,5,3,no,hadoop,system designing,Management,system developer,higherstudies,yes,Technical,no,Applications Developer
84,83,94,83,88,92,2,2,yes,hadoop,game development,Computer Architecture,Business process analyst,job,no,Management,no,Applications Developer
64,72,60,61,89,67,8,1,no,hadoop,game development,parallel computing,testing,job,yes,Technical,yes,Applications Developer
75,92,92,86,87,65,2,3,no,shell programming,game development,programming,system developer,higherstudies,yes,Technical,no,Applications Developer
63,77,92,72,67,88,2,5,no,shell programming,system designing,programming,system developer,job,yes,Management,yes,Applications Developer
93,71,82,68,82,88,7,4,no,app development,data science,Software Engineering,cloud computing,job,yes,Technical,yes,Applications Developer
82,68,93,94,63,62,5,3,yes,distro making,cloud computing,Management,testing,job,yes,Technical,no,Applications Developer
72,83,74,85,68,84,6,3,yes,hadoop,hacking,parallel computing,developer,job,yes,Technical,no,Applications Developer
74,75,72,64,74,60,9,0,yes,machine learning,web technologies,parallel computing,Business process analyst,higherstudies,no,Management,no,Applications Developer
92,93,63,80,84,83,4,3,yes,machine learning,hacking,Computer Architecture,developer,job,yes,Management,no,Applications Developer
63,61,85,64,63,74,6,1,no,machine learning,cloud computing,programming,developer,higherstudies,no,Technical,no,Applications Developer
61,77,73,87,76,67,5,0,yes,python,cloud computing,cloud computing,Business process analyst,job,no,Technical,yes,Applications Developer
75,94,66,61,61,82,7,3,yes,full stack,hacking,cloud computing,Business process analyst,job,yes,Management,no,Applications Developer
70,78,71,84,90,83,6,0,yes,python,hacking,programming,testing,higherstudies,no,Management,yes,Applications Developer
64,88,60,69,91,72,5,4,no,full stack,testing,cloud computing,system developer,higherstudies,yes,Management,yes,Applications Developer
80,63,92,79,72,60,2,2,yes,shell programming,data science,programming,security,job,no,Management,yes,Applications Developer
71,82,74,74,72,83,2,0,yes,distro making,data science,programming,Business process analyst,job,yes,Technical,no,Applications Developer
94,78,91,83,83,83,4,6,no,machine learning,data science,Management,Business process analyst,job,no,Technical,yes,Applications Developer
